id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
773189,Close to Lightrail and to Downtown!,4079928,Masha,,Hennepin,44.96114,-93.23632,Entire home/apt,89,2,131,2019-09-08,1.59,1,342
780926,Como Lake B and B: Aerie Suite,4118598,Carla,,Ramsey,44.97622,-93.14188,Private room,195,1,6,2019-07-27,0.08,6,365
783996,Wayzata Lakefront Estate 15mins from downtown MN.,4134260,May And Henry,,Hennepin,44.97588,-93.49115,Entire home/apt,599,3,29,2019-09-29,1.26,1,362
799661,Modern Downtown St. Paul Loft,1172692,Jodi,,Ramsey,44.94999,-93.09821,Entire home/apt,99,80,11,2018-12-21,0.14,1,295
855302,Global Mkt / Urban Cyclists Bedroom,966845,Dan & Debby,,Hennepin,44.95066,-93.25894,Private room,59,2,0,,,2,0
857377,A Lady's Getaway - 2 rooms 2 beds,4484292,Kathy,,Hennepin,45.11502,-93.50578,Private room,55,2,2,2015-07-06,0.03,1,362
862153,Our Studio,4518528,Mary,,Wright,45.29343,-93.75288,Entire home/apt,70,2,84,2019-10-07,1.98,1,294
866762,Minneapolis Modern in Uptown,4554761,David,,Hennepin,44.94507,-93.29251,Entire home/apt,2000,7,19,2015-07-08,0.24,1,0
879773,A Modern Look in a Country Setting!,2640640,Edna & Fleming,,Hennepin,45.01975,-93.35966,Private room,35,1,52,2019-08-31,0.69,3,358
881006,Rest & Play-Whole Bear House,4660799,Jessica,,Anoka,45.19633,-93.38801,Entire home/apt,185,3,14,2019-09-22,0.19,4,197
892733,Momma Bear Room,4660799,Jessica,,Anoka,45.19526,-93.38623,Private room,85,3,9,2017-11-30,0.12,4,244
892771,Papa Bear Room,4660799,Jessica,,Anoka,45.19578,-93.38603,Private room,75,3,16,2018-09-23,0.20,4,211
936445,Chalet in the City,966845,Dan & Debby,,Hennepin,45.07559,-93.42167,Entire home/apt,100,365,1,2016-05-08,0.02,2,120
979882,Urban Retreat-Near UofM + Downtown,5363505,Vicki,,Hennepin,44.95479,-93.216,Private room,75,1,97,2019-09-04,1.21,1,251
1004244,Bungalow by the Lakes Fulton,5506919,Jennifer,,Hennepin,44.9114,-93.32154,Entire home/apt,325,2,17,2019-09-02,0.25,1,291
1013151,Private room in Shakopee,5152043,Eric,,Scott,44.78734,-93.53358,Private room,350,1,0,,,1,365
1042159,DREAMY Chic Apartment ,5737255,Sarina,,Ramsey,44.95422,-93.14299,Entire home/apt,85,9,105,2019-09-25,1.37,1,146
1058209,Uptown Brownstone with Parking,1462147,Faith,,Hennepin,44.95032,-93.30198,Entire home/apt,150,2,26,2019-08-15,0.35,1,361
1075369,2 Bedroom Urban Nest Brownstone,4208173,Salle,,Hennepin,44.94611,-93.24817,Entire home/apt,155,7,22,2019-05-27,0.31,7,0
1075404,Charming Condo Brownstone 2 Bedroom,4208173,Salle,,Hennepin,44.94737,-93.24798,Entire home/apt,155,7,17,2019-07-20,0.22,7,317
1075439,Contemporary Urban Condo 1 Bedroom,4208173,Salle,,Hennepin,44.94762,-93.24772,Entire home/apt,135,7,18,2019-05-21,0.23,7,247
1090512,Arts/Crafts house near Lake Harriet,5968312,Tom,,Hennepin,44.92677,-93.28337,Private room,75,2,37,2019-10-08,0.49,1,363
1107895,S&J#14E~3+BR Uptown Downtown MOA! 11%off Aug/Sep,1207842,Scott & Jenna,,Hennepin,44.94728,-93.34705,Entire home/apt,189,2,7,2019-04-09,0.11,41,364
1107925,S&J#35~8BR UptwnEdinaDtwnLotsOfRoom!11%offJuly/Aug,1207842,Scott & Jenna,,Hennepin,44.94703,-93.34606,Entire home/apt,637,2,2,2018-08-05,0.03,41,356
